排名,詞彙,出現次數
1,制,9
2,應,8
3,奉,6
4,和,6
5,日,4
6,春,4
7,九,3
8,幸,3
9,公,3
10,主,3
11,餞,3
12,宴,3
13,登,2
14,高,2
15,恩,2
16,州,2
17,赴,2
18,任,2
19,唐,2
20,宮,2
21,人,2
22,安,2
23,樂,2
24,臨,1
25,渭,1
26,亭,1
27,得,1
28,酒,1
29,字,1
30,月,1
31,慈,1
32,寺,1
33,浮,1
34,圖,1
35,送,1
36,金,1
37,城,1
38,適,1
39,西,1
40,蕃,1
41,許,1
42,宋,1
43,司,1
44,馬,1
45,使,1
46,君,1
47,立,1
48,遊,1
49,苑,1
50,迎,1
51,聖,1
52,望,1
53,大,1
54,明,1
55,賜,1
56,彩,1
57,縷,1
58,勝,1
59,山,1
60,莊,1
61,興,1
62,慶,1
63,池,1
64,侍,1
65,夜,1
66,宅,1
67,永,1
68,昌,1
