排名,詞彙,出現次數
1,二首,7
2,賈島,6
3,侍禦,6
4,友人,5
5,下第,5
6,秀才,5
7,從事,5
8,留別,4
9,使君,4
10,贈別,4
11,中送,4
12,送僧,4
13,上人,4
14,員外,4
15,令狐,4
16,先輩,4
17,郎中,3
18,山寺,3
19,無可,3
20,寄賈,3
21,事送,3
22,山中,3
23,出塞,2
24,相和,2
25,和歌,2
26,歌辭,2
27,關山,2
28,山曲,2
29,雀台,2
30,台怨,2
31,送從,2
32,從叔,2
33,寄友,2
34,王使,2
35,崔邵,2
36,邵池,2
37,池陽,2
38,早發,2
39,發故,2
40,故山,2
41,山作,2
42,第別,2
43,長安,2
44,居寄,2
45,望贈,2
46,送顧,2
47,參軍,2
48,故人,2
49,懷古,2
50,江夜,2
51,僧歸,2
52,宿王,2
53,王處,2
54,處士,2
55,曲二,2
56,可上,2
57,人房,2
58,旅次,2
59,才宿,2
60,淮南,2
61,冬日,2
62,書懷,2
63,人寄,2
64,姚侍,2
65,禦宅,2
66,宅懷,2
67,外中,2
68,中秋,2
69,外送,2
70,南從,2
71,校書,2
72,別令,2
73,襄陽,2
74,集宿,2
75,宿姚,2
76,不至,2
77,府試,2
78,事酬,2
79,楊侍,2
80,有懷,2
81,道士,2
82,橫吹,1
83,吹曲,1
84,曲辭,1
85,辭出,1
86,塞相,1
87,辭關,1
88,曲相,1
89,辭雀,1
90,怨蠻,1
91,蠻家,1
92,家春,1
93,春思,1
94,思送,1
95,叔赴,1
96,赴南,1
97,南海,1
98,海幕,1
99,幕江,1
100,江行,1
101,行留,1
102,別將,1
103,將別,1
104,別寄,1
105,人客,1
106,客行,1
107,行過,1
108,過野,1
109,野叟,1
110,叟居,1
111,居答,1
112,答光,1
113,光州,1
114,州王,1
115,君下,1
116,第再,1
117,再過,1
118,過崔,1
119,陽居,1
120,居夕,1
121,夕次,1
122,次淮,1
123,淮口,1
124,口落,1
125,落日,1
126,日悵,1
127,悵望,1
128,望早,1
129,作下,1
130,別郜,1
131,郜扶,1
132,扶寄,1
133,寄終,1
