排名,詞彙,出現次數
1,同群公,8
2,李少府,5
3,李太守,4
4,見贈之,4
5,贈之作,4
6,雜曲歌,3
7,曲歌辭,3
8,宋中別,3
9,群公題,3
10,三君詠,3
11,封丘作,3
12,少府貶,3
13,竇侍禦,3
14,相和歌,2
15,和歌辭,2
16,燕歌行,2
17,秋胡行,2
18,行雜曲,2
19,薊門行,2
20,門行五,2
21,行五首,2
22,邯鄲少,2
23,鄲少年,2
24,少年行,2
25,塞下曲,2
26,少府酬,2
27,酬李少,2
28,陸少府,2
29,之作酬,2
30,下諸公,2
31,房侍禦,2
32,送族侄,2
33,族侄式,2
34,侄式顏,2
35,淇上別,2
36,同諸公,2
37,陳十六,2
38,哥舒大,2
39,舒大夫,2
40,大夫破,2
41,七級浮,2
42,級浮圖,2
43,公三君,2
44,九少府,2
45,宋中遇,2
46,東平路,2
47,杜二拾,2
48,二拾遺,2
49,拾遺九,2
50,遺九日,2
51,畢員外,2
52,員外宅,2
53,中送李,2
54,送李少,2
55,之作奉,2
56,作奉酬,2
57,奉酬睢,2
58,酬睢陽,2
59,判官之,2
60,官之嶺,2
61,陪竇侍,2
62,歌辭燕,1
63,辭燕歌,1
64,歌行相,1
65,行相和,1
66,歌辭秋,1
67,辭秋胡,1
68,胡行雜,1
69,歌辭薊,1
70,辭薊門,1
71,五首雜,1
72,首雜曲,1
73,歌辭邯,1
74,辭邯鄲,1
75,年行雜,1
76,歌辭行,1
77,辭行路,1
78,行路難,1
79,路難二,1
80,難二首,1
81,二首塞,1
82,首塞下,1
83,下曲塞,1
84,曲塞上,1
85,塞上薊,1
86,上薊門,1
87,五首效,1
88,首效古,1
89,效古贈,1
90,古贈崔,1
91,贈崔二,1
92,崔二鉅,1
93,二鉅鹿,1
94,鉅鹿贈,1
95,鹿贈李,1
96,贈李少,1
97,少府東,1
98,府東平,1
99,東平留,1
100,平留贈,1
101,留贈狄,1
102,贈狄司,1
103,狄司馬,1
104,司馬過,1
105,馬過盧,1
106,過盧明,1
107,盧明府,1
108,明府有,1
109,府有贈,1
110,有贈單,1
111,贈單父,1
112,單父逢,1
113,父逢鄧,1
114,逢鄧司,1
115,鄧司倉,1
116,司倉覆,1
117,倉覆倉,1
118,覆倉庫,1
119,倉庫因,1
120,庫因而,1
121,因而有,1
122,而有贈,1
123,有贈薊,1
124,贈薊門,1
125,薊門不,1
126,門不遇,1
127,不遇王,1
128,遇王之,1
129,王之渙,1
130,之渙郭,1
131,渙郭密,1
132,郭密之,1
133,密之因,1
134,之因以,1
135,因以留,1
136,以留贈,1
137,留贈寄,1
138,贈寄孟,1
139,寄孟五,1
140,孟五少,1
141,五少府,1
142,少府苦,1
143,府苦雨,1
144,苦雨寄,1
145,雨寄房,1
146,寄房四,1
147,房四昆,1
148,四昆季,1
149,昆季和,1
150,季和賀,1
151,和賀蘭,1
152,賀蘭判,1
153,蘭判官,1
154,判官望,1
155,官望北,1
156,望北海,1
157,北海作,1
158,海作和,1
159,作和崔,1
160,和崔二,1
161,崔二少,1
162,二少府,1
163,少府登,1
164,府登楚,1
165,登楚丘,1
166,楚丘城,1
167,丘城作,1
168,城作酬,1
169,作酬司,1
170,酬司空,1
171,司空璲,1
172,空璲少,1
173,璲少府,1
174,府酬李,1
175,府酬裴,1
176,酬裴秀,1
177,裴秀才,1
178,秀才酬,1
179,才酬陸,1
180,酬陸少,1
181,少府奉,1
182,府奉酬,1
183,奉酬北,1
184,酬北海,1
185,北海李,1
186,海李太,1
187,太守丈,1
188,守丈人,1
189,丈人夏,1
190,人夏日,1
191,夏日平,1
192,日平陰,1
193,平陰亭,1
194,陰亭酬,1
195,亭酬馬,1
196,酬馬八,1
197,馬八效,1
198,八效古,1
199,效古見,1
200,古見贈,1
201,見贈酬,1
202,贈酬鴻,1
203,酬鴻臚,1
204,鴻臚裴,1
205,臚裴主,1
206,裴主簿,1
207,主簿雨,1
208,簿雨後,1
209,雨後睢,1
210,後睢陽,1
211,睢陽北,1
212,陽北樓,1
213,北樓見,1
214,樓見贈,1
215,作酬裴,1
216,酬裴員,1
217,裴員外,1
218,員外以,1
219,外以詩,1
220,以詩代,1
221,詩代書,1
222,代書酬,1
223,書酬龐,1
224,酬龐十,1
225,龐十兵,1
226,十兵曹,1
227,兵曹同,1
228,曹同呂,1
229,同呂員,1
230,呂員外,1
231,員外酬,1
232,外酬田,1
233,酬田著,1
234,田著作,1
235,著作幕,1
236,作幕門,1
237,幕門軍,1
238,門軍西,1
239,軍西宿,1
240,西宿盤,1
241,宿盤山,1
242,盤山秋,1
243,山秋夜,1
244,秋夜作,1
245,夜作酬,1
246,作酬秘,1
247,酬秘書,1
248,秘書弟,1
249,書弟兼,1
250,弟兼寄,1
251,兼寄幕,1
252,寄幕下,1
253,幕下諸,1
254,諸公淇,1
255,公淇上,1
256,淇上酬,1
257,上酬薛,1
258,酬薛三,1
259,薛三據,1
260,三據兼,1
261,據兼寄,1
262,兼寄郭,1
263,寄郭少,1
264,郭少府,1
265,少府微,1
266,府微酬,1
267,微酬岑,1
268,酬岑二,1
269,岑二十,1
270,二十主,1
271,十主簿,1
272,主簿秋,1
273,簿秋夜,1
274,秋夜見,1
275,夜見贈,1
276,之作答,1
277,作答侯,1
278,答侯少,1
279,侯少府,1
280,少府宋,1
281,府宋中,1
282,中別周,1
283,別周梁,1
284,周梁李,1
285,梁李三,1
286,李三子,1
287,三子宋,1
288,子宋中,1
289,中別李,1
290,別李八,1
291,李八別,1
292,八別王,1
293,別王徹,1
294,王徹送,1
295,徹送蕭,1
296,送蕭十,1
297,蕭十八,1
298,十八與,1
299,八與房,1
300,與房侍,1
301,侍禦回,1
302,禦回還,1
303,回還宋,1
304,還宋中,1
305,宋中送,1
306,中送族,1
307,式顏又,1
308,顏又送,1
309,又送族,1
310,式顏贈,1
311,顏贈別,1
312,贈別王,1
313,別王十,1
314,王十七,1
315,十七管,1
316,七管記,1
317,管記漣,1
318,記漣上,1
319,漣上別,1
320,上別王,1
321,別王秀,1
322,王秀才,1
323,秀才贈,1
324,才贈別,1
325,贈別沈,1
326,別沈四,1
327,沈四逸,1
328,四逸人,1
329,逸人送,1
330,人送韓,1
331,送韓九,1
332,韓九送,1
333,九送崔,1
334,送崔錄,1
335,崔錄事,1
336,錄事赴,1
337,事赴宣,1
338,赴宣城,1
339,宣城別,1
340,城別張,1
341,別張少,1
342,張少府,1
343,少府淇,1
344,府淇上,1
345,上別劉,1
346,別劉少,1
347,劉少府,1
348,少府子,1
349,府子英,1
350,子英別,1
351,英別耿,1
352,別耿都,1
353,耿都尉,1
354,都尉酬,1
355,尉酬別,1
356,酬別薛,1
357,別薛三,1
358,薛三蔡,1
359,三蔡大,1
360,蔡大留,1
361,大留簡,1
362,留簡韓,1
363,簡韓十,1
364,韓十四,1
365,十四主,1
366,四主簿,1
367,主簿送,1
368,簿送虞,1
369,送虞城,1
370,虞城劉,1
371,城劉明,1
372,劉明府,1
373,明府謁,1
374,府謁魏,1
375,謁魏郡,1
376,魏郡苗,1
377,郡苗太,1
378,苗太守,1
379,太守途,1
380,守途中,1
381,途中酬,1
382,中酬李,1
383,少府贈,1
384,府贈別,1
385,贈別之,1
386,別之作,1
387,之作睢,1
388,作睢陽,1
389,睢陽酬,1
390,陽酬別,1
391,酬別暢,1
392,別暢大,1
393,暢大判,1
394,大判官,1
395,判官宴,1
396,官宴韋,1
397,宴韋司,1
398,韋司戶,1
399,司戶山,1
400,戶山亭,1
401,山亭院,1
402,亭院同,1
403,院同諸,1
404,諸公登,1
405,公登慈,1
406,登慈恩,1
407,慈恩寺,1
408,恩寺浮,1
409,寺浮圖,1
410,浮圖同,1
411,圖同薛,1
412,同薛司,1
413,薛司直,1
414,司直諸,1
415,直諸公,1
416,諸公秋,1
417,公秋霽,1
418,秋霽曲,1
419,霽曲江,1
420,曲江俯,1
421,江俯見,1
422,俯見南,1
423,見南山,1
424,南山作,1
425,山作登,1
426,作登廣,1
427,登廣陵,1
428,廣陵棲,1
429,陵棲靈,1
430,棲靈寺,1
431,靈寺塔,1
432,寺塔登,1
433,塔登百,1
434,登百丈,1
435,百丈峰,1
436,丈峰二,1
437,峰二首,1
438,二首同,1
439,首同群,1
440,群公秋,1
441,公秋登,1
442,秋登琴,1
443,登琴台,1
444,琴台同,1
445,台同群,1
446,群公出,1
447,公出獵,1
448,出獵海,1
449,獵海上,1
450,海上同,1
451,上同群,1
452,公題鄭,1
453,題鄭少,1
454,鄭少府,1
455,少府田,1
456,府田家,1
457,田家同,1
458,家同群,1
459,公題中,1
460,題中山,1
461,中山寺,1
462,山寺同,1
463,寺同群,1
464,群公宿,1
465,公宿開,1
466,宿開善,1
467,開善寺,1
468,善寺贈,1
469,寺贈陳,1
470,贈陳十,1
471,十六所,1
472,六所居,1
473,所居同,1
474,居同韓,1
475,同韓四,1
476,韓四薛,1
477,四薛三,1
478,薛三東,1
479,三東亭,1
480,東亭玩,1
481,亭玩月,1
482,玩月同,1
483,月同敬,1
484,同敬八,1
485,敬八盧,1
486,八盧五,1
487,盧五泛,1
488,五泛河,1
489,泛河間,1
490,河間清,1
491,間清河,1
492,清河同,1
493,河同房,1
494,同房侍,1
495,侍禦山,1
496,禦山園,1
497,山園新,1
498,園新亭,1
499,新亭與,1
500,亭與邢,1
501,與邢判,1
502,邢判官,1
503,判官同,1
504,官同游,1
505,同游同,1
506,游同馬,1
507,同馬太,1
508,馬太守,1
509,太守聽,1
510,守聽九,1
511,聽九思,1
512,九思法,1
513,思法師,1
514,法師講,1
515,師講金,1
516,講金剛,1
517,金剛經,1
518,剛經漣,1
519,經漣上,1
520,漣上題,1
521,上題樊,1
522,題樊氏,1
523,樊氏水,1
524,氏水亭,1
525,水亭同,1
526,亭同呂,1
527,同呂判,1
528,呂判官,1
529,判官從,1
530,官從哥,1
531,從哥舒,1
532,夫破洪,1
533,破洪濟,1
534,洪濟城,1
535,濟城回,1
536,城回登,1
537,回登積,1
538,登積石,1
539,積石軍,1
540,石軍多,1
541,軍多福,1
542,多福七,1
543,福七級,1
544,浮圖三,1
545,圖三君,1
546,君詠魏,1
547,詠魏鄭,1
548,魏鄭公,1
549,鄭公三,1
550,君詠郭,1
551,詠郭代,1
552,郭代公,1
553,代公三,1
554,君詠狄,1
555,詠狄梁,1
556,狄梁公,1
557,梁公宓,1
558,公宓公,1
559,宓公琴,1
560,公琴台,1
561,琴台詩,1
562,台詩三,1
563,詩三首,1
564,三首李,1
565,首李雲,1
566,李雲南,1
567,雲南征,1
568,南征蠻,1
569,征蠻詩,1
570,蠻詩題,1
571,詩題尉,1
572,題尉遲,1
573,尉遲將,1
574,遲將軍,1
575,將軍新,1
576,軍新廟,1
577,新廟觀,1
578,廟觀李,1
579,觀李九,1
580,李九少,1
581,少府翥,1
582,府翥樹,1
583,翥樹宓,1
584,樹宓子,1
585,宓子賤,1
586,子賤神,1
587,賤神祠,1
588,神祠碑,1
589,祠碑同,1
590,碑同觀,1
591,同觀陳,1
592,觀陳十,1
593,十六史,1
594,六史興,1
595,史興碑,1
596,興碑宋,1
597,碑宋中,1
598,宋中十,1
599,中十首,1
600,十首薊,1
601,首薊中,1
602,薊中作,1
603,中作自,1
604,作自淇,1
605,自淇涉,1
606,淇涉黃,1
607,涉黃河,1
608,黃河途,1
609,河途中,1
610,途中作,1
611,中作十,1
612,作十三,1
613,十三首,1
614,三首宋,1
615,首宋中,1
616,中遇陳,1
617,遇陳二,1
618,陳二宋,1
619,二宋中,1
620,中遇劉,1
621,遇劉書,1
622,劉書記,1
623,書記有,1
624,記有別,1
625,有別魯,1
626,別魯郡,1
627,魯郡途,1
628,郡途中,1
629,途中遇,1
630,中遇徐,1
631,遇徐十,1
632,徐十八,1
633,十八錄,1
634,八錄事,1
635,錄事遇,1
636,事遇沖,1
637,遇沖和,1
638,沖和先,1
639,和先生,1
640,先生魯,1
641,生魯西,1
642,魯西至,1
643,西至東,1
644,至東平,1
645,東平東,1
646,平東平,1
647,平路作,1
648,路作三,1
649,作三首,1
650,三首東,1
651,首東平,1
652,平路中,1
653,路中遇,1
654,中遇大,1
655,遇大水,1
656,大水登,1
657,水登壟,1
658,登壟苦,1
659,壟苦雪,1
660,苦雪四,1
661,雪四首,1
662,四首哭,1
663,首哭單,1
664,哭單父,1
665,單父梁,1
666,父梁九,1
667,梁九少,1
668,少府哭,1
669,府哭裴,1
670,哭裴少,1
671,裴少府,1
672,少府秋,1
673,府秋胡,1
674,胡行古,1
675,行古大,1
676,古大樑,1
677,大樑行,1
678,樑行邯,1
679,行邯鄲,1
680,年行燕,1
681,行燕歌,1
682,歌行古,1
683,行古歌,1
684,古歌行,1
685,歌行人,1
686,行人日,1
687,人日寄,1
688,日寄杜,1
689,寄杜二,1
690,九日酬,1
691,日酬顏,1
692,酬顏少,1
693,顏少府,1
694,少府留,1
695,府留別,1
696,留別鄭,1
697,別鄭三,1
698,鄭三韋,1
699,三韋九,1
700,韋九兼,1
701,九兼洛,1
702,兼洛下,1
703,洛下諸,1
704,諸公送,1
705,公送楊,1
706,送楊山,1
707,楊山人,1
708,山人歸,1
709,人歸嵩,1
710,歸嵩陽,1
711,嵩陽送,1
712,陽送別,1
713,送別贈,1
714,別贈別,1
715,贈別晉,1
716,別晉三,1
717,晉三處,1
718,三處士,1
719,處士送,1
720,士送渾,1
721,送渾將,1
722,渾將軍,1
723,將軍出,1
724,軍出塞,1
725,出塞送,1
726,塞送蔡,1
727,送蔡山,1
728,蔡山人,1
729,山人封,1
730,人封丘,1
731,丘作題,1
732,作題李,1
733,題李別,1
734,李別駕,1
735,別駕壁,1
736,駕壁寄,1
737,壁寄宿,1
738,寄宿田,1
739,宿田家,1
740,田家別,1
741,家別韋,1
742,別韋參,1
743,韋參軍,1
744,參軍送,1
745,軍送田,1
746,送田少,1
747,田少府,1
748,府貶蒼,1
749,貶蒼梧,1
750,蒼梧平,1
751,梧平臺,1
752,平臺夜,1
753,臺夜遇,1
754,夜遇李,1
755,遇李景,1
756,李景參,1
757,景參有,1
758,參有別,1
759,有別送,1
760,別送郭,1
761,送郭處,1
762,郭處士,1
763,處士往,1
764,士往萊,1
765,往萊蕪,1
766,萊蕪兼,1
767,蕪兼寄,1
768,兼寄苟,1
769,寄苟山,1
770,苟山人,1
771,山人賦,1
772,人賦得,1
773,賦得還,1
774,得還山,1
775,還山吟,1
776,山吟送,1
777,吟送沈,1
778,送沈四,1
779,沈四山,1
780,四山人,1
781,山人崔,1
782,人崔司,1
783,崔司錄,1
784,司錄宅,1
785,錄宅燕,1
786,宅燕大,1
787,燕大理,1
788,大理李,1
789,理李卿,1
790,李卿同,1
791,卿同鮮,1
