排名,詞彙,出現次數
1,歌辭,9
2,二首,9
3,侍禦,9
4,曲歌,7
5,雜曲,5
6,送僧,5
7,行雜,4
8,秋夜,4
9,煉師,4
10,秀才,4
11,淮南,4
12,李相,4
13,秋思,3
14,思二,3
15,員外,3
16,山中,3
17,中懷,3
18,秋暮,3
19,懷古,3
20,舍人,3
21,送王,3
22,王璠,3
23,璠侍,3
24,隴頭,2
25,頭水,2
26,相和,2
27,和歌,2
28,苦哉,2
29,哉遠,2
30,遠征,2
31,征人,2
32,琴曲,2
33,湘妃,2
34,妃列,2
35,列女,2
36,女操,2
37,悲哉,2
38,哉行,2
39,羽林,2
40,林行,2
41,壯士,2
42,士行,2
43,鳴雁,2
44,雁行,2
45,隋宮,2
46,真人,2
47,山道,2
48,道中,2
49,隱者,2
50,舊山,2
51,宮行,2
52,夜對,2
53,對月,2
54,懷李,2
55,道士,2
56,期盡,2
57,天臺,2
58,宣城,2
59,禪定,2
60,定寺,2
61,詞二,2
62,舊鏡,2
63,贈僧,2
64,別隋,2
65,郊天,2
66,友人,2
67,楊煉,2
68,答客,2
69,夏日,2
70,言懷,2
71,見寄,2
72,長安,2
73,中丞,2
74,師寄,2
75,寄送,2
76,南臥,2
77,臥病,2
78,之作,2
79,戲贈,2
80,樊宗,2
81,宗憲,2
82,移軍,2
83,夷簡,2
84,南李,2
85,行采,2
86,橫吹,1
87,吹曲,1
88,曲辭,1
89,辭隴,1
90,水相,1
91,辭苦,1
92,人相,1
93,辭怨,1
94,怨詩,1
95,詩琴,1
96,辭湘,1
97,操琴,1
98,辭蔡,1
99,蔡氏,1
100,氏五,1
101,五弄,1
102,弄秋,1
103,首雜,1
104,辭悲,1
105,辭羽,1
106,辭壯,1
107,辭鳴,1
108,辭夜,1
109,夜寒,1
110,寒吟,1
111,吟蕭,1
112,蕭史,1
113,史圖,1
114,圖歌,1
115,歌會,1
116,會仙,1
117,仙歌,1
118,歌李,1
119,李夫,1
120,夫人,1
121,人歌,1
122,歌水,1
123,水殿,1
124,殿采,1
125,采菱,1
126,菱歌,1
127,歌周,1
128,周先,1
129,先生,1
130,生畫,1
131,畫洞,1
132,洞庭,1
133,庭歌,1
134,歌霓,1
135,霓裳,1
136,裳羽,1
137,羽衣,1
138,衣歌,1
139,歌寓,1
140,寓興,1
141,興游,1
142,游山,1
143,山隋,1
144,宮懷,1
145,懷仙,1
146,仙二,1
147,首懷,1
148,懷遠,1
149,遠人,1
150,人懷,1
151,懷尹,1
152,尹真,1
153,人秋,1
154,秋晚,1
155,晚銅,1
156,銅山,1
157,中宿,1
158,宿隱,1
159,者感,1
160,感懷,1
161,懷經,1
162,經秦,1
163,秦皇,1
164,皇墓,1
165,墓將,1
166,將歸,1
167,歸舊,1
168,山留,1
169,留別,1
170,別孟,1
171,孟郊,1
172,郊留,1
173,留辭,1
174,辭杜,1
175,杜員,1
176,外式,1
177,式方,1
178,方長,1
179,長城,1
180,城蔡,1
181,蔡平,1
182,平喜,1
183,喜遇,1
184,遇河,1
185,河陽,1
186,陽馬,1
187,馬判,1
188,判官,1
189,官寬,1
190,寬話,1
191,話別,1
192,別寄,1
193,寄福,1
194,福州,1
195,州從,1
196,從事,1
197,事殷,1
198,殷堯,1
199,堯藩,1
200,藩壯,1
201,行章,1
202,章華,1
203,華宮,1
204,行倚,1
205,倚瑟,1
206,瑟行,1
207,行辭,1
208,辭輦,1
209,輦行,1
210,行巢,1
211,巢烏,1
212,烏行,1
213,行姑,1
214,姑蘇,1
215,蘇宮,1
216,行悲,1
217,行元,1
218,元日,1
219,日早,1
220,早朝,1
221,朝行,1
222,行秋,1
223,秋懷,1
224,懷五,1
225,五首,1
226,首秋,1
227,月懷,1
228,李正,1
229,正封,1
230,封廬,1
231,廬山,1
232,山石,1
233,石鏡,1
234,鏡與,1
235,與峨,1
236,峨眉,1
237,眉山,1
238,士期,1
239,盡日,1
240,日不,1
241,不至,1
242,至述,1
243,述德,1
244,德上,1
245,上太,1
246,太原,1
247,原嚴,1
248,嚴尚,1
249,尚書,1
250,書綬,1
251,綬山,1
252,懷劉,1
253,劉修,1
254,修塞,1
255,塞下,1
256,下送,1
257,僧南,1
258,南游,1
259,游行,1
260,行路,1
261,路難,1
262,難子,1
263,子規,1
264,規秋,1
265,夜聞,1
266,聞鄭,1
267,鄭山,1
268,山人,1
269,人彈,1
270,彈楚,1
271,楚妃,1
272,妃怨,1
273,怨憶,1
274,憶舊,1
275,舊游,1
276,游白,1
277,白露,1
278,露經,1
279,經隱,1
280,隱叟,1
281,叟秋,1
282,暮山,1
283,李端,1
284,端公,1
285,公益,1
286,益苦,1
287,人悼,1
288,悼豆,1
289,豆盧,1
290,盧策,1
291,策先,1
292,先輩,1
293,輩首,1
294,首夏,1
295,夏寄,1
296,寄天,1
297,臺准,1
298,准公,1
299,公送,1
300,僧東,1
301,東游,1
302,游送,1
303,僧之,1
304,之宣,1
305,城宣,1
306,城北,1
307,北樓,1
308,樓昔,1
309,昔從,1
310,從順,1
311,順陽,1
312,陽公,1
313,公會,1
314,會于,1
315,于此,1
316,此東,1
317,東高,1
318,高峰,1
319,峰禪,1
320,寺經,1
321,經院,1
322,院範,1
323,範真,1
324,真傳,1
325,傳侍,1
326,禦累,1
327,累有,1
328,有寄,1
329,寄因,1
330,因奉,1
331,奉酬,1
332,酬十,1
333,十首,1
334,首弄,1
335,弄玉,1
336,玉詞,1
337,首山,1
338,山行,1
339,行經,1
340,經樵,1
341,樵翁,1
342,翁途,1
343,途中,1
344,中旅,1
345,旅思,1
346,首舊,1
347,鏡宿,1
348,宿悟,1
349,悟空,1
350,空寺,1
351,寺贈,1
352,僧感,1
353,感興,1
354,興秋,1
355,思客,1
356,客途,1
357,途逢,1
358,逢鄉,1
359,鄉人,1
360,人旋,1
361,旋別,1
362,隋帝,1
363,帝陵,1
364,陵下,1
365,下洛,1
366,洛陽,1
367,陽春,1
368,春望,1
369,望始,1
370,始見,1
371,見二,1
372,二毛,1
373,毛巫,1
374,巫山,1
375,山懷,1
376,古郊,1
377,天回,1
378,回溫,1
379,溫泉,1
380,泉宮,1
381,宮寄,1
382,寄歸,1
383,歸贈,1
384,贈遠,1
385,遠九,1
386,九日,1
387,日與,1
388,與友,1
389,人登,1
390,登高,1
391,高贈,1
392,贈楊,1
393,師玉,1
394,玉清,1
395,清壇,1
396,壇答,1
